ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?",Stock,"Low stock amount","Backorders allowed?","Sold individually?","Weight (lbs)","Length (in)","Width (in)","Height (in)","Allow customer reviews?","Purchase note","Sale price","Regular price",Categories,Tags,"Shipping class",Images,"Download limit","Download expiry days",Parent,"Grouped products",Upsells,Cross-sells,"External URL","Button text",Position,Brands,"Meta: _yoast_wpseo_primary_product_brand","Meta: _yoast_wpseo_primary_product_cat","Meta: _yoast_wpseo_content_score","Meta: _yoast_wpseo_estimated-reading-time-minutes"
198,simple,1,,"AlpineGrip Chalk Bag",1,0,visible,,"<ul>
\n 	<li data-start=""237"" data-end=""427"">
\n<p data-start=""240"" data-end=""427"">A durable, weather-resistant chalk bag with a contoured shape for easy access and a secure belt attachment—perfect for keeping your hands dry on long routes.</p>
\n</li>
\n</ul>",,,taxable,,1,,,0,0,,,,,1,,,19.99,climbing,climbing,,https://smartcache.wpenginepowered.com/wp-content/uploads/2025/07/ORG-XLChalkBag4A.webp,,,,,,,,,0,,,,90,1
204,simple,2,,"SummitPro Climbing Harness",1,0,visible,,"Lightweight yet robust harness featuring adjustable leg loops and a comfortable waist belt, rated for both sport and trad climbing.",,,taxable,,1,,,0,0,,,,,1,,,59.99,climbing,climbing,,https://smartcache.wpenginepowered.com/wp-content/uploads/2025/07/003ebe_6d0f739e79b0402a89507621ff879773mv2.avif,,,,,,,,,0,,,,,
206,simple,3,,"EdgeFlex Climbing Shoes",1,0,visible,,"High-performance synthetic climbing shoes with aggressive downturn and sticky rubber sole for precise edging on technical climbs.",,,taxable,,1,,,0,0,,,,,1,,,189.99,climbing,climbing,,https://smartcache.wpenginepowered.com/wp-content/uploads/2025/07/otaki.jpeg,,,,,,,,,0,,,,,
208,simple,4,,"CliffMaster Quickdraw Set (6-pack)",1,0,visible,,"Six ultra-lightweight quickdraws with anodized aluminum carabiners and durable dogbones—ideal for sport routes and cragging.",,,taxable,,1,,,0,0,,,,,1,,,109.99,climbing,climbing,,https://smartcache.wpenginepowered.com/wp-content/uploads/2025/07/qdraws.jpeg,,,,,,,,,0,,,,,
210,simple,5,,"PeakForce Climbing Helmet",1,0,visible,,"CE-certified, impact-absorbing helmet with adjustable fit system and ample ventilation for all-day comfort on the rock.",,,taxable,,1,,,0,0,,,,,1,,,49.99,climbing,climbing,,https://smartcache.wpenginepowered.com/wp-content/uploads/2025/07/climb-helmet.webp,,,,,,,,,0,,,,,
212,simple,6,,"AeroStride Running Shoes",1,0,visible,,"Breathable, responsive road-running shoes with carbon-fiber-infused midsole for a propulsive ride over any distance.",,,taxable,,1,,,0,0,,,,,1,,,149.99,Running,running,,https://smartcache.wpenginepowered.com/wp-content/uploads/2025/07/pegs.webp,,,,,,,,,0,,,,,
214,simple,7,,"EnduroLite Moisture-Wicking Shirt",1,0,visible,,"Fast-dry, anti-odor running tee made from recycled polyester with UPF 50+ sun protection.",,,taxable,,1,,,0,0,,,,,1,,,39.99,Running,running,,https://smartcache.wpenginepowered.com/wp-content/uploads/2025/07/run-shirt.webp,,,,,,,,,0,,,,,
216,simple,8,,"PacePulse GPS Running Watch",1,0,visible,,"<ul>
\n 	<li data-start=""2239"" data-end=""2387"">
\n<p data-start=""2243"" data-end=""2387"">Multi-sport GPS watch with heart-rate monitoring, advanced pace metrics, and customizable interval alerts.</p>
\n</li>
\n 	<li data-start=""2389"" data-end=""2556"">
\n<p data-start=""2393"" data-end=""2556""></p>
\n</li>
\n</ul>",,,taxable,,1,,,0,0,,,,,1,,,249.99,Running,running,,https://smartcache.wpenginepowered.com/wp-content/uploads/2025/07/d4690db1-b0af-4e57-b5d9-bd3d66106dff.avif,,,,,,,,,0,,,,,
218,simple,9,,"HydroFlow Hydration Pack (1.5 L)",1,0,visible,,"Lightweight backpack with an easy‐sip reservoir, reflective accents, and multiple pockets for gels and small essentials.",,,taxable,,1,,,0,0,,,,,1,,,49.99,Running,running,,https://smartcache.wpenginepowered.com/wp-content/uploads/2025/07/camelpak.jpeg,,,,,,,,,0,,,,,
220,simple,10,,"Reflect360 Safety Vest",1,0,visible,,"High-visibility vest with 360° reflective strips and breathable mesh back—stay seen on pre-dawn or evening runs.",,,taxable,,1,,,0,0,,,,,1,,,19.99,Running,running,,https://smartcache.wpenginepowered.com/wp-content/uploads/2025/07/running-vest.jpeg,,,,,,,,,0,,,,,
222,simple,11,,"CodeFlow Ergonomic Keyboard",1,0,visible,,"Split, tented keyboard with adjustable tilt and tactile switches—minimize wrist strain during marathon coding sessions.",,,taxable,,1,,,0,0,,,,,1,,,199.99,coding,coding,,"https://smartcache.wpenginepowered.com/wp-content/uploads/2025/07/ergokb.webp, https://smartcache.wpenginepowered.com/wp-content/uploads/2025/07/ergokb.webp",,,,,,,,,0,,,,,
224,simple,12,,"Initech Mug Programmer’s Coffee Mug",1,0,visible,,"350 ml ceramic mug printed with common coding syntax—keeps your coffee warm and your coding humor intact.",,,taxable,,1,,,0,0,,,,,1,,,9.99,coding,,,https://smartcache.wpenginepowered.com/wp-content/uploads/2025/07/initech-mub.webp,,,,,,,,,0,,,,,
